locid,label,x_pct,y_pct,w_pct,h_pct,rotation_deg
f29,f29,0.7608,0.4088,0.017,0.0088,0
c15,c15,0.8174,0.4088,0.0139,0.0173,-74
r22b6,r22b6,0.1442,0.4102,0.0214,0.0097,0
r22b5,r22b5,0.1634,0.4102,0.0209,0.0097,0
r22b8,r22b8,0.1072,0.4106,0.02,0.0093,0
r22b7,r22b7,0.1251,0.4106,0.0205,0.0093,0
r22b4,r22b4,0.1826,0.4106,0.0205,0.0093,0
r22b3,r22b3,0.2013,0.4106,0.0205,0.0093,0
r22b2,r22b2,0.2196,0.4106,0.0205,0.0093,0
r22b1,r22b1,0.2388,0.4106,0.02,0.0093,0
r4s3,r4s3,0.5691,0.4133,0.0109,0.0049,0
r4s1,r4s1,0.7033,0.4133,0.0109,0.0049,0
rd80,rd80,0.5377,0.4137,0.01,0.027,0
f59,f59,0.746,0.4155,0.017,0.0088,0
f28,f28,0.7608,0.4155,0.017,0.0088,0
r22s3,r22s3,0.0998,0.4181,0.0096,0.0044,0
r22s1,r22s1,0.2571,0.4181,0.0092,0.0044,0
c14,c14,0.8214,0.4208,0.0139,0.0173,-74
f58,f58,0.746,0.423,0.017,0.0088,0
f27,f27,0.7608,0.423,0.017,0.0088,0
rd47,rd47,0.041,0.4235,0.0096,0.0204,0
p139,p139,0.2985,0.4261,0.017,0.0217,0
p108,p108,0.339,0.4261,0.017,0.0217,0
p107,p107,0.3538,0.4261,0.017,0.0217,0
p104,p104,0.3887,0.4261,0.017,0.0217,0
p103,p103,0.4035,0.4261,0.017,0.0217,0
p100,p100,0.4383,0.4261,0.017,0.0217,0
p99,p99,0.4532,0.4261,0.017,0.0217,0
f57,f57,0.746,0.4296,0.017,0.0088,0
f26,f26,0.7608,0.4296,0.017,0.0088,0
c13,c13,0.8253,0.4336,0.0135,0.0173,-74
r4s4,r4s4,0.5691,0.4367,0.0109,0.0049,0
r3s2,r3s2,0.7033,0.4367,0.0109,0.0049,0
f56,f56,0.746,0.4372,0.017,0.0088,0
f25,f25,0.7608,0.4372,0.017,0.0088,0
rd79,rd79,0.5381,0.4389,0.01,0.0274,0
r23s4,r23s4,0.1007,0.4394,0.0096,0.0044,0
r23s2,r23s2,0.258,0.4394,0.0092,0.0044,0
r3b12,r3b12,0.5778,0.4398,0.0227,0.0097,0
r3b11,r3b11,0.5983,0.4398,0.0227,0.0097,0
r3b10,r3b10,0.6196,0.4398,0.0227,0.0097,0
r3b9,r3b9,0.641,0.4398,0.0227,0.0097,0
r3b8,r3b8,0.6614,0.4398,0.0227,0.0097,0
r3b7,r3b7,0.6828,0.4398,0.0227,0.0097,0
r3g2,r3g2,0.5678,0.4403,0.0113,0.0177,0
r3g1,r3g1,0.7037,0.4403,0.0113,0.0177,0
p146,p146,0.0693,0.4412,0.0153,0.0217,0
rd48,rd48,0.041,0.4425,0.0096,0.0204,0
r23g2,r23g2,0.0998,0.4425,0.0096,0.0181,0
r23b19,r23b19,0.1081,0.4425,0.0183,0.0093,0
r23b18,r23b18,0.1246,0.4425,0.0183,0.0093,0
r23b17,r23b17,0.1407,0.4425,0.0183,0.0093,0
r23b16,r23b16,0.1577,0.4425,0.0192,0.0093,0
r23b15,r23b15,0.1747,0.4425,0.0187,0.0093,0
r23b14,r23b14,0.1917,0.4425,0.0183,0.0093,0
r23b13,r23b13,0.2083,0.4425,0.0183,0.0093,0
r23b12,r23b12,0.2248,0.4425,0.0183,0.0093,0
r23b11,r23b11,0.2414,0.4425,0.0183,0.0093,0
r23g1,r23g1,0.2584,0.4425,0.0096,0.0181,0
f55,f55,0.746,0.4438,0.017,0.0088,0
f24,f24,0.7608,0.4438,0.017,0.0088,0
c12,c12,0.8292,0.4456,0.0135,0.0173,-74
r3b6,r3b6,0.5778,0.4487,0.0227,0.0097,0
r3b5,r3b5,0.5983,0.4487,0.0227,0.0097,0
r3b4,r3b4,0.6196,0.4487,0.0227,0.0097,0
r3b3,r3b3,0.641,0.4487,0.0227,0.0097,0
r3b2,r3b2,0.6614,0.4487,0.0227,0.0097,0
r3b1,r3b1,0.6828,0.4487,0.0227,0.0097,0
r23b6,r23b6,0.1673,0.4509,0.0174,0.0097,0
r23b5,r23b5,0.1826,0.4509,0.0174,0.0097,0
r23b10,r23b10,0.1076,0.4513,0.017,0.0093,0
r23b9,r23b9,0.1224,0.4513,0.0166,0.0093,0
r23b8,r23b8,0.1373,0.4513,0.017,0.0093,0
r23b7,r23b7,0.1521,0.4513,0.0166,0.0093,0
r23b4,r23b4,0.1983,0.4513,0.0166,0.0093,0
r23b3,r23b3,0.2131,0.4513,0.017,0.0093,0
r23b2,r23b2,0.2279,0.4513,0.0166,0.0093,0
r23b1,r23b1,0.2431,0.4513,0.017,0.0093,0
f54,f54,0.746,0.4513,0.017,0.0088,0
f23,f23,0.7608,0.4513,0.017,0.0088,0
r3s3,r3s3,0.5691,0.4562,0.0109,0.0049,0
r3s1,r3s1,0.7033,0.4562,0.0109,0.0049,0
p140,p140,0.2985,0.4575,0.017,0.0217,0
p118,p118,0.339,0.4575,0.017,0.0217,0
p117,p117,0.3538,0.4575,0.017,0.0217,0
p114,p114,0.3887,0.4575,0.017,0.0217,0
p113,p113,0.4035,0.4575,0.017,0.0217,0
p110,p110,0.4383,0.4575,0.017,0.0217,0
p109,p109,0.4532,0.4575,0.017,0.0217,0
f53,f53,0.746,0.458,0.017,0.0088,0
f22,f22,0.7608,0.458,0.017,0.0088,0
r23s3,r23s3,0.1007,0.4588,0.0096,0.0044,0
r23s1,r23s1,0.258,0.4588,0.0092,0.0044,0
c11,c11,0.8327,0.4588,0.0139,0.0173,-74
rd49,rd49,0.041,0.4611,0.0096,0.0208,0
rd78,rd78,0.5381,0.4646,0.01,0.0279,0
f52,f52,0.746,0.4655,0.017,0.0088,0
f21,f21,0.7608,0.4655,0.017,0.0088,0
f51,f51,0.746,0.4721,0.017,0.0088,0
f20,f20,0.7608,0.4721,0.017,0.0088,0
c10,c10,0.8366,0.4726,0.0139,0.0173,-74
r2s4,r2s4,0.5691,0.4761,0.0109,0.0049,0
r2s2,r2s2,0.7033,0.4761,0.0109,0.0049,0
p141,p141,0.2985,0.477,0.017,0.0217,0
p120,p120,0.339,0.477,0.017,0.0217,0
p119,p119,0.3538,0.477,0.017,0.0217,0
p116,p116,0.3887,0.477,0.017,0.0217,0
p115,p115,0.4035,0.477,0.017,0.0217,0
p112,p112,0.4383,0.477,0.017,0.0217,0
p111,p111,0.4532,0.477,0.017,0.0217,0
rd50,rd50,0.041,0.4796,0.0096,0.0204,0
r2g2,r2g2,0.5678,0.4796,0.0113,0.0177,0
r2g1,r2g1,0.7037,0.4796,0.0113,0.0177,0
f50,f50,0.746,0.4796,0.017,0.0088,0
f19,f19,0.7608,0.4796,0.017,0.0088,0
r2b11,r2b11,0.5782,0.4801,0.0192,0.0093,0
r2b10,r2b10,0.5961,0.4801,0.0196,0.0093,0
r2b9,r2b9,0.6135,0.4801,0.0196,0.0093,0
r2b8,r2b8,0.6318,0.4801,0.0196,0.0093,0
r2b7,r2b7,0.6501,0.4801,0.0196,0.0093,0
r2b6,r2b6,0.6675,0.4801,0.0196,0.0093,0
r2b5,r2b5,0.6858,0.4801,0.0192,0.0093,0
cs5,cs5,0.2392,0.4836,0.0327,0.0292,0
c9,c9,0.8405,0.4845,0.0139,0.0173,-74
f49,f49,0.746,0.4863,0.017,0.0088,0
f18,f18,0.7608,0.4863,0.017,0.0088,0
r2b4,r2b4,0.5782,0.4876,0.0553,0.0093,0
r2b3,r2b3,0.6318,0.4876,0.0196,0.0093,0
r2b2,r2b2,0.6501,0.4876,0.0366,0.0093,0
r2b1,r2b1,0.6858,0.4876,0.0192,0.0093,0
p147,p147,0.0863,0.4889,0.0153,0.0217,0
p148,p148,0.1098,0.4889,0.0153,0.0217,0
p149,p149,0.1233,0.4889,0.0153,0.0217,0
p150,p150,0.1364,0.4889,0.0153,0.0217,0
p151,p151,0.1743,0.4889,0.0153,0.0217,0
p152,p152,0.1869,0.4889,0.0153,0.0217,0
p153,p153,0.2004,0.4889,0.0153,0.0217,0
rd77,rd77,0.5381,0.4907,0.01,0.0279,0
f48,f48,0.746,0.4938,0.017,0.0088,0
f17,f17,0.7608,0.4938,0.017,0.0088,0
r2s3,r2s3,0.5691,0.4956,0.0109,0.0049,0
r2s1,r2s1,0.7033,0.4956,0.0109,0.0049,0
c8,c8,0.8444,0.4973,0.0135,0.0173,-74
rd51,rd51,0.041,0.4987,0.0096,0.0204,0
f47,f47,0.746,0.5004,0.017,0.0088,0
f16,f16,0.7608,0.5004,0.017,0.0088,0
f46,f46,0.746,0.508,0.017,0.0088,0
f15,f15,0.7608,0.508,0.017,0.0088,0
c7,c7,0.8484,0.5093,0.0135,0.0173,-74
r24s4,r24s4,0.2802,0.5119,0.0131,0.0044,0
r24s2,r24s2,0.4344,0.5119,0.0131,0.0044,0
f45,f45,0.746,0.5146,0.017,0.0088,0
f14,f14,0.7608,0.5146,0.017,0.0088,0
r24g2,r24g2,0.2793,0.515,0.0126,0.0181,0
r24b14,r24b14,0.2902,0.515,0.0227,0.0097,0
r24b13,r24b13,0.3115,0.515,0.0222,0.0097,0
r24b12,r24b12,0.3316,0.515,0.0227,0.0097,0
r24b11,r24b11,0.3529,0.515,0.0222,0.0097,0
r24b10,r24b10,0.3739,0.515,0.0222,0.0097,0
r24b9,r24b9,0.3939,0.515,0.0222,0.0097,0
r24b8,r24b8,0.4153,0.515,0.0222,0.0097,0
r24g1,r24g1,0.4353,0.515,0.0126,0.0181,0
rd76,rd76,0.5381,0.5164,0.01,0.0279,0
rd52,rd52,0.041,0.5168,0.0096,0.0208,0
r1s4,r1s4,0.5691,0.5208,0.0109,0.0049,0
r1s2,r1s2,0.7033,0.5208,0.0109,0.0049,0
f44,f44,0.746,0.5221,0.017,0.0088,0
f13,f13,0.7608,0.5221,0.017,0.0088,0
c6,c6,0.8519,0.5226,0.0139,0.0173,-74
r24b7,r24b7,0.2902,0.5239,0.0227,0.0097,0
r24b6,r24b6,0.3115,0.5239,0.0222,0.0097,0
r24b5,r24b5,0.3316,0.5239,0.0227,0.0097,0
r24b4,r24b4,0.3529,0.5239,0.0222,0.0097,0
r24b3,r24b3,0.3739,0.5239,0.0222,0.0097,0
r24b2,r24b2,0.3939,0.5239,0.0222,0.0097,0
r24b1,r24b1,0.4153,0.5239,0.0222,0.0097,0
r1b12,r1b12,0.5778,0.5239,0.0227,0.0097,0
r1b11,r1b11,0.5983,0.5239,0.0227,0.0097,0
r1b10,r1b10,0.6196,0.5239,0.0227,0.0097,0
r1b9,r1b9,0.641,0.5239,0.0227,0.0097,0
r1b8,r1b8,0.6614,0.5239,0.0227,0.0097,0
r1b7,r1b7,0.6828,0.5239,0.0227,0.0097,0
r1g2,r1g2,0.5678,0.5243,0.0113,0.0177,0
r1g1,r1g1,0.7037,0.5243,0.0113,0.0177,0
f43,f43,0.746,0.5288,0.017,0.0088,0
f12,f12,0.7608,0.5288,0.017,0.0088,0
r24s3,r24s3,0.2802,0.5314,0.0131,0.0044,0
r24s1,r24s1,0.4344,0.5314,0.0131,0.0044,0
cs4,cs4,0.2484,0.5323,0.0253,0.0235,0
r1b6,r1b6,0.5778,0.5327,0.0227,0.0097,0
r1b5,r1b5,0.5983,0.5327,0.0227,0.0097,0
r1b4,r1b4,0.6196,0.5327,0.0227,0.0097,0
r1b3,r1b3,0.641,0.5327,0.0227,0.0097,0
r1b2,r1b2,0.6614,0.5327,0.0227,0.0097,0
r1b1,r1b1,0.6828,0.5327,0.0227,0.0097,0
rd53,rd53,0.0414,0.5358,0.0279,0.0097,0
rd54,rd54,0.0671,0.5358,0.0279,0.0097,0
rd55,rd55,0.0937,0.5358,0.0279,0.0097,0
rd56,rd56,0.1194,0.5358,0.0279,0.0097,0
rd57,rd57,0.146,0.5358,0.0279,0.0097,0
rd58,rd58,0.173,0.5358,0.0096,0.019,0
f42,f42,0.746,0.5363,0.017,0.0088,0
f11,f11,0.7608,0.5363,0.017,0.0088,0
r1s3,r1s3,0.5691,0.5403,0.0109,0.0049,0
r1s1,r1s1,0.7033,0.5403,0.0109,0.0049,0
rd75,rd75,0.5381,0.5429,0.01,0.0274,0
f41,f41,0.746,0.5429,0.017,0.0088,0
f10,f10,0.7608,0.5429,0.017,0.0088,0
c5,c5,0.8488,0.5429,0.0174,0.0195,-117
f40,f40,0.746,0.5504,0.017,0.0088,0
f9,f9,0.7608,0.5504,0.017,0.0088,0
rd59,rd59,0.173,0.5527,0.0096,0.019,0
r25s4,r25s4,0.2802,0.554,0.0131,0.0044,0
r25s2,r25s2,0.4222,0.554,0.0118,0.0044,0
c4,c4,0.8427,0.5558,0.0174,0.0195,-117
r25b6,r25b6,0.2906,0.5566,0.0458,0.0097,0
r25b5,r25b5,0.3338,0.5566,0.0458,0.0097,0
r25b4,r25b4,0.3791,0.5566,0.0453,0.0097,0
r25g2,r25g2,0.2793,0.5571,0.0126,0.0181,0
r25g1,r25g1,0.4227,0.5571,0.0122,0.0181,0
f39,f39,0.746,0.5571,0.017,0.0088,0
f8,f8,0.7608,0.5571,0.017,0.0088,0
p122,p122,0.4571,0.5628,0.017,0.0217,0
p121,p121,0.4719,0.5628,0.017,0.0217,0
m2,m2,0.5686,0.5637,0.0379,0.0119,0
m4,m4,0.6048,0.5637,0.0379,0.0119,0
m6,m6,0.641,0.5637,0.0379,0.0119,0
m8,m8,0.6767,0.5637,0.0379,0.0119,0
f38,f38,0.746,0.5646,0.017,0.0088,0
f7,f7,0.7608,0.5646,0.017,0.0088,0
r25b3,r25b3,0.2906,0.5659,0.0458,0.0097,0
r25b2,r25b2,0.3338,0.5659,0.0458,0.0097,0
r25b1,r25b1,0.3791,0.5659,0.0453,0.0097,0
c3,c3,0.8357,0.569,0.0174,0.0199,-117
rd60,rd60,0.173,0.5695,0.0096,0.019,0
f37,f37,0.746,0.5712,0.017,0.0088,0
f6,f6,0.7608,0.5712,0.017,0.0088,0
r25s3,r25s3,0.2802,0.5735,0.0131,0.0044,0
r25s1,r25s1,0.4222,0.5735,0.0118,0.0044,0
m3,m3,0.5686,0.5735,0.0379,0.0119,0
m5,m5,0.6048,0.5735,0.0379,0.0119,0
m7,m7,0.641,0.5735,0.0379,0.0119,0
m9,m9,0.6767,0.5735,0.0379,0.0119,0
f36,f36,0.746,0.5788,0.017,0.0088,0
f5,f5,0.7608,0.5788,0.017,0.0088,0
c2,c2,0.8296,0.5819,0.017,0.0199,-117
f35,f35,0.746,0.5854,0.017,0.0088,0
f4,f4,0.7608,0.5854,0.017,0.0088,0
rd61,rd61,0.173,0.5863,0.0096,0.019,0
f34,f34,0.746,0.5929,0.017,0.0088,0
f3,f3,0.7608,0.5929,0.017,0.0088,0
c1,c1,0.8222,0.5956,0.0174,0.0199,-117
r28g2,r28g2,0.5786,0.5991,0.0179,0.0115,0
f33,f33,0.746,0.5996,0.017,0.0088,0
f2,f2,0.7608,0.5996,0.017,0.0088,0
r28s3,r28s3,0.5756,0.6,0.0048,0.0119,0
r28s4,r28s4,0.5952,0.6,0.0048,0.0119,0
cs2,cs2,0.532,0.6027,0.0344,0.027,0
cs3,cs3,0.6427,0.6027,0.0344,0.027,0
rd67,rd67,0.3059,0.6031,0.027,0.0097,0
rd68,rd68,0.3312,0.6031,0.027,0.0097,0
